flight_number,scheduled_arrival,scheduled_departure,actual_departure,month,origin,destination,weather,air_traffic_control,airline_operations,airport_operations,passenger_related,external_factors,delayed
1101,1473,1667,1682,10,AMD,CJB,normal,normal,free,free,no,yes,0
1102,1786,1067,1062,4,BOM,AMD,adverse,normal,free,issue,yes,y,1
1103,1760,1014,1019,2,CJB,BLR,normal,normal,issue,issue,no,y,0
1104,1660,690,700,7,BOM,PNQ,normal,normal,free,issue,no,y,1
1105,817,361,361,8,BLR,BOM,adverse,normal,issue,free,yes,y,0
1106,204,1831,1841,8,CCU,DEL,adverse,congested,issue,free,no,y,1
1107,491,2233,2218,10,DEL,CCU,normal,congested,free,issue,yes,y,0
1108,275,703,733,7,AMD,MAA,adverse,normal,issue,free,yes,y,1
1109,1893,303,333,8,GOI,BOM,adverse,congested,issue,issue,no,y,0
1110,552,1924,1919,4,BOM,AMD,normal,normal,free,free,yes,y,1
1111,905,765,770,8,PNQ,BLR,normal,congested,issue,issue,yes,y,0
1112,360,2132,2127,3,MAA,BLR,adverse,normal,free,issue,yes,y,1
1113,1260,1148,1153,7,DEL,MAA,adverse,normal,free,free,yes,y,0
1114,1551,639,624,7,CCU,BLR,normal,congested,free,free,no,y,1
1115,2010,1104,1099,12,DEL,AMD,normal,congested,issue,issue,yes,y,0
1116,670,1288,1288,10,BLR,CJB,normal,normal,free,issue,yes,y,1
1117,700,1586,1596,1,DEL,HYD,normal,congested,free,issue,yes,y,0
1118,1832,533,538,11,DEL,BLR,normal,congested,free,issue,yes,y,1
1119,1374,2030,2035,9,CCU,DEL,normal,congested,issue,free,yes,y,0
1120,728,1778,1763,11,BOM,GOI,normal,normal,issue,issue,yes,y,1
1121,888,1822,1817,7,BLR,DEL,normal,normal,issue,issue,no,y,0
1122,112,1745,1755,8,CCU,HYD,adverse,congested,issue,issue,no,y,1
1123,492,320,315,4,HYD,BLR,normal,normal,issue,free,yes,y,0
1124,2219,2081,2091,10,BLR,DEL,normal,normal,issue,free,no,y,1
1125,1731,1317,1322,7,HYD,AMD,normal,congested,free,free,yes,y,0
1126,248,2113,2128,4,GOI,BLR,adverse,congested,free,issue,no,y,1
1127,1621,759,744,9,CCU,AMD,normal,normal,issue,free,yes,y,0
1128,1635,2207,2207,12,PNQ,BLR,normal,congested,free,free,no,y,1
1129,455,1296,1311,7,DEL,GOI,normal,normal,free,issue,no,y,0
1130,2127,1198,1203,3,AMD,CJB,adverse,normal,free,issue,no,y,1
1131,1762,993,998,9,BOM,CCU,adverse,congested,issue,issue,yes,y,0
1132,1029,2006,2001,7,MAA,HYD,normal,normal,free,issue,no,y,1
1133,2285,216,226,3,BLR,BOM,adverse,normal,issue,free,no,y,0
1134,983,2135,2120,11,BOM,MAA,normal,congested,issue,issue,yes,y,1
1135,926,194,189,11,BOM,BLR,adverse,congested,issue,free,yes,y,0
1136,513,1030,1045,4,BOM,CJB,normal,congested,free,issue,yes,y,1
1137,1919,748,733,2,GOI,BOM,normal,normal,free,issue,no,y,0
1138,1503,1962,1972,4,PNQ,BLR,adverse,congested,free,issue,yes,y,1
1139,1512,1240,1240,6,CCU,DEL,adverse,congested,issue,free,no,y,0
1140,2084,999,999,5,CJB,MAA,adverse,normal,issue,free,no,y,1
1141,656,2180,2190,12,CCU,DEL,normal,congested,issue,issue,yes,y,0
1142,492,124,129,11,HYD,AMD,normal,normal,issue,issue,yes,y,1
1143,2149,1025,1010,2,DEL,BOM,normal,normal,issue,free,yes,y,0
1144,636,2295,2325,6,BLR,BOM,normal,normal,issue,issue,yes,y,1
1145,1239,2192,2197,1,BLR,AMD,adverse,normal,free,free,no,y,0
1146,1982,2061,2046,2,BOM,AMD,normal,congested,issue,issue,yes,y,1
1147,1123,2266,2266,1,CCU,GOI,normal,normal,issue,issue,no,y,0
1148,852,1500,1515,7,AMD,GOI,normal,normal,issue,issue,no,y,1
1149,551,2238,2233,11,DEL,AMD,adverse,congested,issue,free,no,y,0
1150,368,1879,1894,1,DEL,PNQ,adverse,congested,free,free,no,y,1
1151,2010,2128,2158,6,BOM,HYD,adverse,congested,free,free,yes,y,0
1152,2002,1191,1206,7,DEL,PNQ,adverse,normal,free,free,no,y,1
1153,1887,351,361,8,GOI,PNQ,adverse,normal,free,issue,no,y,0
1154,585,2228,2223,3,CCU,GOI,normal,congested,free,issue,no,y,1
1155,706,2353,2358,5,CCU,PNQ,adverse,congested,free,free,yes,y,0
1156,902,2244,2259,11,HYD,BLR,adverse,congested,issue,free,yes,y,1
1157,688,1703,1688,12,DEL,GOI,normal,congested,issue,issue,yes,y,0
1158,1523,1635,1650,10,MAA,GOI,normal,normal,free,free,no,y,1
1159,771,1661,1676,12,HYD,CCU,adverse,normal,issue,issue,no,y,0
1160,1862,508,518,4,BLR,CJB,normal,normal,issue,issue,yes,y,1
1161,1778,1321,1326,11,PNQ,DEL,adverse,congested,issue,issue,no,y,0
1162,983,578,578,12,PNQ,CJB,normal,normal,free,free,no,y,1
1163,1240,1254,1254,11,DEL,BOM,adverse,normal,free,free,yes,y,0
1164,2200,942,972,10,HYD,AMD,normal,normal,free,issue,no,y,1
1165,223,1259,1269,6,HYD,AMD,adverse,congested,issue,free,no,y,0
1166,814,1521,1551,7,CJB,PNQ,adverse,normal,issue,free,no,y,1
1167,1772,1570,1580,4,HYD,CCU,adverse,congested,issue,issue,no,y,0
1168,1660,2253,2263,4,CJB,CCU,normal,normal,issue,free,yes,y,1
1169,1287,120,105,4,CJB,MAA,adverse,normal,free,free,yes,y,0
1170,497,1301,1331,7,BOM,HYD,adverse,normal,issue,issue,no,y,1
1171,1994,550,580,12,BOM,HYD,adverse,normal,free,free,yes,y,0
1172,1416,567,572,7,GOI,CCU,normal,congested,free,issue,yes,y,1
1173,486,795,780,3,BLR,CCU,adverse,normal,free,issue,yes,y,0
1174,1480,478,473,2,BLR,MAA,adverse,congested,issue,free,yes,y,1
